Región,Productos seleccionados,Unidad de medida,Date,Price,product_id
Noroeste,Azúcar,kg,2017-10-01,16.87,16
Cuyo,Aceite de girasol,"1,5 litros",2017-10-01,51.56,1
Patagonia,Arroz blanco simple,kg,2017-10-01,27.16,12
Cuyo,Huevos de gallina,Docena,2017-10-01,35.41,43
Noroeste,Pan francés,kg,2017-10-01,33.57,70
Patagonia,Lavandina,1.000 cc,2017-10-01,17.65,60
Patagonia,Detergente líquido,750 cc,2017-10-01,35.51,30
Patagonia,Azúcar,kg,2017-10-01,22.24,18
Patagonia,Papa,kg,2017-10-01,20.55,78
Patagonia,Huevos de gallina,Docena,2017-10-01,43.7,48
Patagonia,Leche fresca entera sachet,Litro,2017-10-01,25.03,66
Patagonia,Aceite de girasol,"1,5 litros",2017-10-01,53.71,6
Cuyo,Leche fresca entera sachet,Litro,2017-10-01,24.06,61
Patagonia,Pollo entero,kg,2017-10-01,44.73,84
Patagonia,Fideos secos tipo guisero,500 g,2017-10-01,21.32,36
Patagonia,Harina de trigo común,kg,2017-10-01,12.24,42
Patagonia,Pan francés,kg,2017-10-01,39.88,72
Cuyo,Jabón de tocador,125 g,2017-10-01,14.99,49
Cuyo,Lavandina,1.000 cc,2017-10-01,15.41,55
Cuyo,Detergente líquido,750 cc,2017-10-01,22.21,25
Cuyo,Azúcar,kg,2017-10-01,19.01,13
Cuyo,Papa,kg,2017-10-01,14.12,73
Patagonia,Carne picada común,kg,2017-10-01,96.01,24
Patagonia,Jabón de tocador,125 g,2017-10-01,15.68,54
Noreste,Jabón de tocador,125 g,2017-10-01,14.88,51
Noreste,Detergente líquido,750 cc,2017-10-01,19.88,27
Pampeana,Arroz blanco simple,kg,2017-10-01,21.92,11
Pampeana,Harina de trigo común,kg,2017-10-01,11.35,41
Pampeana,Pan francés,kg,2017-10-01,33.03,71
GBA,Jabón de tocador,125 g,2017-10-01,14.6,50
GBA,Lavandina,1.000 cc,2017-10-01,16.13,56
GBA,Detergente líquido,750 cc,2017-10-01,20.55,26
GBA,Papa,kg,2017-10-01,15.34,74
GBA,Huevos de gallina,Docena,2017-10-01,33.93,44
GBA,Leche fresca entera sachet,Litro,2017-10-01,21.95,62
GBA,Aceite de girasol,"1,5 litros",2017-10-01,54.68,2
GBA,Pollo entero,kg,2017-10-01,39.3,80
GBA,Carne picada común,kg,2017-10-01,73.75,20
GBA,Fideos secos tipo guisero,500 g,2017-10-01,20.13,32
GBA,Arroz blanco simple,kg,2017-10-01,21.74,8
GBA,Harina de trigo común,kg,2017-10-01,10.61,38
GBA,Pan francés,kg,2017-10-01,39.89,68
Noreste,Lavandina,1.000 cc,2017-10-01,16.09,57
Pampeana,Fideos secos tipo guisero,500 g,2017-10-01,18.07,35
Pampeana,Carne picada común,kg,2017-10-01,78.34,23
GBA,Azúcar,kg,2017-10-01,20.12,14
Pampeana,Aceite de girasol,"1,5 litros",2017-10-01,55.93,5
Pampeana,Pollo entero,kg,2017-10-01,40.9,83
Noreste,Papa,kg,2017-10-01,13.6,75
Noreste,Huevos de gallina,Docena,2017-10-01,29.07,45
Noreste,Leche fresca entera sachet,Litro,2017-10-01,23.82,63
Noreste,Aceite de girasol,"1,5 litros",2017-10-01,55.78,3
Noreste,Pollo entero,kg,2017-10-01,39.39,81
Noreste,Carne picada común,kg,2017-10-01,76.78,21
Noreste,Fideos secos tipo guisero,500 g,2017-10-01,15.19,33
Noreste,Arroz blanco simple,kg,2017-10-01,20.32,9
Noreste,Azúcar,kg,2017-10-01,18.72,15
Noreste,Pan francés,kg,2017-10-01,29.38,69
